city_id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Scarborough,54.28,-0.4,54.0,80,98,5.01,GB,1603123201
1,Mataura,-46.19,168.86,48.99,81,59,15.99,NZ,1603123426
2,Nome,64.5,-165.41,39.2,93,90,5.82,US,1603123426
3,Hirado,33.36,129.55,66.0,68,29,11.99,JP,1603123426
4,Tasiilaq,65.61,-37.64,32.0,97,40,8.05,GL,1603123426
5,Hong Kong,22.29,114.16,75.0,57,19,8.01,HK,1603123280
6,Saldanha,-33.01,17.94,66.2,48,95,10.29,ZA,1603123427
7,Chokurdakh,70.63,147.92,16.59,98,99,6.89,RU,1603123427
8,Tuktoyaktuk,69.45,-133.04,20.59,97,97,4.43,CA,1603123317
9,Barrow,71.29,-156.79,21.2,85,90,10.29,US,1603123427
10,Vejprty,50.49,13.03,44.01,92,85,7.0,CZ,1603123427
11,Poso,-1.4,120.75,82.99,62,100,7.11,ID,1603123427
12,Roblin,51.23,-101.36,22.89,89,0,6.38,CA,1603123427
13,Port-Cartier,50.03,-66.87,46.0,76,100,5.99,CA,1603123427
14,Bambous Virieux,-20.34,57.76,75.2,73,20,10.29,MU,1603123428
15,Ushuaia,-54.8,-68.3,37.4,93,90,35.57,AR,1603123226
16,Saint-Philippe,-21.36,55.77,75.2,69,31,20.8,RE,1603123428
17,Manchester,53.48,-2.24,55.99,71,100,4.7,GB,1603123413
18,Srednekolymsk,67.45,153.68,17.22,96,85,3.89,RU,1603123428
19,Hobart,-42.88,147.33,46.4,93,49,5.82,AU,1603123225
20,Tucumcari,35.17,-103.72,41.0,80,20,4.7,US,1603123360
21,George Town,5.41,100.34,86.0,70,20,1.12,MY,1603123250
22,Grindavik,63.84,-22.43,42.8,70,40,9.17,IS,1603123428
23,Busselton,-33.65,115.33,60.01,62,3,11.05,AU,1603123428
24,Fort Nelson,58.81,-122.7,18.01,86,33,1.57,CA,1603123429
25,Lebu,-37.62,-73.65,55.71,64,3,7.94,CL,1603123429
26,Chui,-33.7,-53.46,80.42,54,93,5.84,UY,1603123429
27,Upernavik,72.79,-56.15,38.64,72,84,28.81,GL,1603123429
28,Ketchikan,55.34,-131.65,42.8,100,90,4.7,US,1603123429
29,Elliot,-31.33,27.85,74.41,24,81,8.1,ZA,1603123429
30,Hilo,19.73,-155.09,73.4,83,90,3.36,US,1603123237
31,Tarbagatay,51.48,107.36,33.8,64,75,20.13,RU,1603123429
32,Bethel,41.37,-73.41,61.0,82,90,6.93,US,1603123204
33,Tocopilla,-22.09,-70.2,67.19,48,8,5.32,CL,1603123430
34,Lompoc,34.64,-120.46,53.6,100,90,5.84,US,1603123192
35,West Odessa,31.84,-102.5,46.4,81,90,6.93,US,1603123268
36,Sheridan,44.83,-106.92,32.0,92,90,6.58,US,1603123366
37,Rikitea,-23.12,-134.97,73.6,79,0,14.63,PF,1603123238
38,Port Alfred,-33.59,26.89,68.4,80,72,15.66,ZA,1603123430
39,Ancud,-41.87,-73.82,57.0,53,40,9.17,CL,1603123430
40,Yumen,40.28,97.2,47.62,44,21,18.19,CN,1603123430
41,Sinnamary,5.38,-52.95,88.43,58,5,11.61,GF,1603123430
42,Vaini,-21.2,-175.2,69.8,77,20,9.17,TO,1603123430
43,Honningsvåg,70.98,25.97,35.6,74,75,6.93,NO,1603123351
44,Iqaluit,63.75,-68.51,33.01,74,27,4.0,CA,1603123431
45,Kapaa,22.08,-159.32,75.0,59,2,1.99,US,1603123431
46,Vestmanna,62.16,-7.17,44.6,70,69,16.11,FO,1603123431
47,Davila,18.47,120.58,82.4,78,75,9.17,PH,1603123431
48,San Quintín,30.48,-115.95,75.22,60,0,13.69,MX,1603123431
49,Bluff,-46.6,168.33,48.99,81,79,15.99,NZ,1603123431
50,Nikolskoye,59.7,30.79,36.0,95,75,6.71,RU,1603123431
51,Carnarvon,-24.87,113.63,68.0,77,75,18.34,AU,1603123431
52,Castro,-24.79,-50.01,74.19,70,13,5.79,BR,1603123432
53,Klaksvík,62.23,-6.59,44.6,70,72,16.11,FO,1603123432
54,Riyadh,24.69,46.72,84.2,14,0,9.17,SA,1603123202
55,Cayenne,4.93,-52.33,89.6,62,17,10.29,GF,1603123432
56,Mānsa,29.98,75.38,72.72,19,0,2.17,IN,1603123432
57,Fortuna,40.6,-124.16,55.0,100,90,5.82,US,1603123411
58,Cidreira,-30.18,-50.21,73.35,68,0,13.11,BR,1603123433
59,Nyurba,63.28,118.33,23.41,97,96,8.25,RU,1603123433
60,New Norfolk,-42.78,147.06,43.0,79,48,2.46,AU,1603123433
61,Cabo San Lucas,22.89,-109.91,84.99,74,5,11.41,MX,1603123200
62,Payo,-3.75,103.64,74.17,94,95,2.3,ID,1603123434
63,Saskylakh,71.92,114.08,20.44,97,84,4.94,RU,1603123434
64,Boyabat,41.47,34.77,58.05,64,84,3.0,TR,1603123434
65,Ust-Tsilma,65.44,52.15,28.8,96,98,5.75,RU,1603123434
66,Ambunti,-4.24,142.84,73.35,92,100,1.23,PG,1603123434
67,Wanaka,-44.7,169.15,44.01,80,38,1.01,NZ,1603123346
68,Bredasdorp,-34.53,20.04,66.2,55,40,17.22,ZA,1603123435
69,Taltal,-25.4,-70.48,63.07,58,22,5.1,CL,1603123435
70,Liverpool,53.41,-2.98,55.4,76,20,13.87,GB,1603123216
71,Jeffersontown,38.19,-85.56,59.0,93,90,8.05,US,1603123436
72,Tokur,53.13,132.9,10.11,94,0,3.38,RU,1603123436
73,Yangambi,0.81,24.43,78.85,80,100,2.24,CD,1603123436
74,Olpād,21.33,72.75,84.2,89,20,8.86,IN,1603123436
75,Evensk,61.95,159.23,35.56,95,100,10.54,RU,1603123436
76,Curuçá,-0.73,-47.85,91.31,48,65,11.77,BR,1603123436
77,Nānākuli,21.39,-158.15,75.2,88,75,3.36,US,1603123436
78,Norman Wells,65.28,-126.83,14.67,89,13,5.28,CA,1603123436
79,Porto Santo,33.07,-16.34,73.4,60,20,8.05,PT,1603123370
80,Cockburn Town,21.46,-71.14,81.84,75,80,12.48,TC,1603123437
81,Khatanga,71.97,102.5,9.59,94,47,4.97,RU,1603123437
82,Starokucherganovka,46.32,47.96,59.0,47,85,6.2,RU,1603123437
83,Yellowknife,62.46,-114.35,21.99,96,98,5.01,CA,1603123437
84,Kavieng,-2.57,150.8,82.27,71,26,2.8,PG,1603123437
85,Punta Arenas,-53.15,-70.92,42.8,61,40,32.21,CL,1603123168
86,Longyearbyen,78.22,15.64,26.6,79,75,10.29,SJ,1603123362
87,Santa Cruz Cabrália,-16.28,-39.02,80.6,61,40,11.41,BR,1603123437
88,Maniitsoq,65.42,-52.9,36.97,93,100,35.1,GL,1603123437
89,Arraial do Cabo,-22.97,-42.03,77.0,65,40,24.16,BR,1603123206
90,Pevek,69.7,170.31,25.52,94,99,14.34,RU,1603123438
91,Albany,42.6,-73.97,61.0,69,78,6.38,US,1603123206
92,Cwmbran,51.65,-3.02,55.0,74,100,1.01,GB,1603123438
93,Pacific Grove,36.62,-121.92,53.6,100,90,3.36,US,1603123206
94,Camopi,3.17,-52.32,97.52,32,36,4.99,GF,1603123438
95,Camacha,33.08,-16.33,73.4,60,20,8.05,PT,1603123354
96,Unhel,23.33,75.57,79.65,66,32,2.51,IN,1603123438
97,Yerofey Pavlovich,53.97,121.97,26.47,97,100,2.93,RU,1603123247
98,Kupang,-10.17,123.58,79.07,77,27,7.25,ID,1603123438
99,Dikson,73.51,80.55,24.13,95,95,19.82,RU,1603123338
100,Sitka,57.05,-135.33,42.8,87,90,11.41,US,1603123438
101,São Filipe,14.9,-24.5,81.95,75,7,8.75,CV,1603123327
102,Hermanus,-34.42,19.23,61.0,67,63,5.99,ZA,1603123439
103,The Valley,18.22,-63.06,86.0,73,100,4.0,AI,1603123439
104,Butaritari,3.07,172.79,81.72,73,100,12.03,KI,1603123439
105,Ribeira Grande,38.52,-28.7,59.0,82,75,20.8,PT,1603123439
106,Fairbanks,64.84,-147.72,19.4,85,75,1.3,US,1603123232
107,Henties Bay,-22.12,14.28,62.01,83,0,5.99,NA,1603123439
108,Kilindoni,-7.91,39.67,79.56,77,0,12.41,TZ,1603123439
109,Bengkulu,-3.8,102.27,76.87,88,93,3.18,ID,1603123439
110,Talara,-4.58,-81.27,71.6,78,11,21.92,PE,1603123439
111,Marzuq,14.4,46.47,73.98,20,0,7.4,YE,1603123440
112,Chernyshevskiy,63.01,112.47,21.72,98,70,8.1,RU,1603123440
113,Umm Bāb,25.21,50.81,89.6,38,1,8.05,QA,1603123440
114,Qaanaaq,77.48,-69.36,27.05,82,15,14.9,GL,1603123440
115,Yar-Sale,66.83,70.83,18.28,96,0,3.49,RU,1603123440
116,Saint George,37.1,-113.58,55.4,24,1,3.36,US,1603123440
117,Port Lincoln,-34.73,135.87,55.29,83,27,13.42,AU,1603123441
118,Sept-Îles,50.2,-66.38,46.0,82,98,7.0,CA,1603123407
119,Mabai,23.01,104.45,49.6,99,100,4.16,CN,1603123441
120,General Roca,-39.03,-67.58,66.2,23,0,11.41,AR,1603123441
121,Puerto Baquerizo Moreno,-0.9,-89.6,69.8,100,90,14.99,EC,1603123441
122,Khāsh,28.22,61.22,53.04,33,0,5.66,IR,1603123441
123,Guerrero Negro,27.98,-114.06,76.06,65,0,5.82,MX,1603123441
124,Hithadhoo,-0.6,73.08,82.89,76,100,9.98,MV,1603123441
125,Port Elizabeth,-33.92,25.57,68.0,77,68,6.93,ZA,1603123274
126,Comitancillo,15.08,-91.72,62.01,64,91,1.01,GT,1603123442
127,Søgne,58.08,7.82,48.0,75,75,2.24,NO,1603123442
128,Mahon,39.89,4.27,66.2,63,20,11.41,ES,1603123442
129,Broome,42.25,-75.83,57.0,81,90,5.82,US,1603123442
130,Rāmhormoz,31.28,49.6,72.82,19,0,3.06,IR,1603123442
131,Liuzhou,24.31,109.39,61.92,73,80,8.86,CN,1603123442
132,Cape Town,-33.93,18.42,64.99,45,20,12.75,ZA,1603123274
133,Te Anau,-45.42,167.72,42.1,83,75,5.19,NZ,1603123320
134,Merauke,-8.47,140.33,78.24,87,100,10.78,ID,1603123394
135,Saint Anthony,45.02,-93.22,35.01,59,90,3.36,US,1603123443
136,East London,-33.02,27.91,68.0,77,20,16.11,ZA,1603123443
137,Puerto Ayora,-0.74,-90.35,77.0,73,75,11.41,EC,1603123443
138,Bowen,-20.02,148.23,66.2,93,75,4.7,AU,1603123443
139,Blackwater,-23.58,148.88,67.19,69,0,6.76,AU,1603123443
140,Tirana,41.33,19.82,62.6,51,1,5.82,AL,1603123443
141,Severo-Kuril'sk,50.68,156.12,41.94,71,100,9.86,RU,1603123444
142,Saint Paul Harbor,57.79,-152.41,32.0,71,1,5.82,US,1603123259
143,Katsuura,35.13,140.3,57.2,87,75,8.05,JP,1603123444
144,Torbay,47.67,-52.73,57.0,93,94,1.01,CA,1603123444
145,Redlands,34.06,-117.18,68.0,62,5,1.57,US,1603123303
146,Bogolyubovo,56.2,40.53,37.87,78,77,8.84,RU,1603123444
147,Ekangala,-25.7,28.75,89.6,19,45,4.7,ZA,1603123444
148,Eureka,40.8,-124.16,54.0,100,90,4.7,US,1603123364
149,Mount Isa,-20.73,139.5,82.4,13,10,10.29,AU,1603123221
150,Avera,33.19,-82.53,71.6,60,1,10.29,US,1603123444
151,Nushki,29.55,66.02,52.29,43,0,2.01,PK,1603123445
152,Vostok,46.49,135.88,28.98,97,10,4.29,RU,1603123445
153,Charleston,32.78,-79.93,77.0,61,1,9.17,US,1603123321
154,Hofn,64.25,-15.21,41.0,65,75,6.93,IS,1603123445
155,Bongandanga,1.5,21.05,79.05,78,73,2.44,CD,1603123445
156,Moree,-29.47,149.85,59.0,77,41,4.7,AU,1603123445
157,Miranda,3.25,-76.23,71.6,88,75,4.7,CO,1603123446
158,Vilhena,-12.74,-60.15,82.45,63,75,3.02,BR,1603123446
159,Hobbs,32.7,-103.14,46.4,81,20,5.82,US,1603123446
160,Senno,59.53,33.92,35.01,92,99,6.93,RU,1603123446
161,Salalah,17.02,54.09,87.8,40,75,4.7,OM,1603123446
162,Azanka,58.04,64.79,43.54,85,71,8.3,RU,1603123446
163,Arman',59.7,150.17,29.7,97,100,6.67,RU,1603123446
164,Wakema,16.6,95.18,74.98,98,99,7.11,MM,1603123446
165,Ahipara,-35.17,173.17,56.43,90,74,7.92,NZ,1603123446
166,Arni,12.67,79.28,78.06,81,48,4.09,IN,1603123447
167,Alta Gracia,-31.65,-64.43,82.0,50,27,23.0,AR,1603123447
168,Atuona,-9.8,-139.03,78.12,74,6,22.15,PF,1603123176
169,Limbang,4.75,115.0,77.0,88,75,1.12,MY,1603123447
170,Brae,60.4,-1.35,46.4,93,75,31.09,GB,1603123447
171,Ponta do Sol,32.67,-17.1,73.4,69,20,9.17,PT,1603123447
172,Launceston,-41.45,147.17,51.8,76,90,8.05,AU,1603123447
173,Chowchilla,37.12,-120.26,57.2,62,1,3.67,US,1603123303
174,Faya,18.39,42.45,71.6,13,20,13.87,SA,1603123448
175,Pangnirtung,66.15,-65.71,30.34,94,100,14.18,CA,1603123448
176,Alugan,12.22,125.48,77.22,90,100,8.34,PH,1603123448
177,Vícar,36.83,-2.64,77.0,41,0,12.75,ES,1603123448
178,Yaan,7.38,8.57,86.18,71,89,1.66,NG,1603123448
179,Inongo,-1.95,18.27,78.21,79,32,6.26,CD,1603123448
180,Buraidah,26.33,43.98,82.4,20,0,5.82,SA,1603123448
181,Hasaki,35.73,140.83,54.0,100,75,6.93,JP,1603123448
182,Sechura,-5.56,-80.82,73.92,57,33,9.35,PE,1603123449
183,Qaqortoq,60.72,-46.03,37.4,93,90,2.24,GL,1603123449
184,Aklavik,68.22,-135.01,14.59,87,92,5.86,CA,1603123449
185,Wonthaggi,-38.6,145.59,48.0,82,15,4.32,AU,1603123449
186,Conakry,9.54,-13.68,86.0,84,75,11.41,GN,1603123238
187,Katghora,22.5,82.55,73.04,63,36,3.83,IN,1603123449
188,Kamalpur,24.2,91.83,76.98,87,0,1.12,IN,1603123449
189,Labuhan,-6.88,112.21,77.52,84,100,6.49,ID,1603123449
190,Kazygurt,41.76,69.39,62.6,44,0,6.93,KZ,1603123449
191,Takanabe,32.13,131.5,62.15,68,93,6.35,JP,1603123449
192,Pisco,-13.7,-76.22,66.99,77,0,10.29,PE,1603123450
193,Ilulissat,69.22,-51.1,42.8,48,75,16.11,GL,1603123450
194,Beidao,34.57,105.89,53.58,53,100,3.2,CN,1603123450
195,Talnakh,69.49,88.4,17.6,92,90,11.18,RU,1603123450
196,Vestmannaeyjar,63.44,-20.27,42.8,75,20,10.29,IS,1603123450
197,Jimo,36.39,120.46,50.0,93,0,2.24,CN,1603123157
198,Santa Rosa,14.31,121.11,82.4,83,40,2.24,PH,1603123450
199,Coyhaique,-45.58,-72.07,46.4,52,75,4.7,CL,1603123356
200,Dilijan,40.74,44.86,57.54,35,0,5.08,AM,1603123450
201,Novikovo,51.15,37.89,44.4,78,82,8.79,RU,1603123451
202,Gornyy,55.12,83.91,33.22,87,100,14.76,RU,1603123451
203,Kaitangata,-46.28,169.85,46.99,82,48,1.01,NZ,1603123451
204,Jamestown,42.1,-79.24,51.01,100,90,3.36,US,1603123358
205,Najrān,17.49,44.13,77.0,22,0,6.93,SA,1603123451
206,Aktau,43.65,51.2,64.4,72,90,8.95,KZ,1603123451
207,Sisimiut,66.94,-53.67,38.97,76,100,41.25,GL,1603123451
208,Berlevåg,70.86,29.09,35.6,77,75,14.99,NO,1603123452
209,Macusani,-14.08,-70.43,49.93,47,23,2.91,PE,1603123452
210,Joshīmath,30.57,79.57,53.71,41,8,3.4,IN,1603123452
211,Chapais,49.78,-74.85,34.27,87,94,5.73,CA,1603123361
212,Spornoye,50.84,37.29,46.4,81,57,8.95,RU,1603123452
213,Teya,60.38,92.63,26.62,93,100,9.55,RU,1603123452
214,Zhezkazgan,47.8,67.71,53.17,46,26,7.7,KZ,1603123341
215,Potiskum,11.71,11.07,94.78,20,1,3.47,NG,1603123452
216,Kargasok,59.06,80.86,32.23,98,100,13.94,RU,1603123452
217,Gharavŭtí,37.57,68.45,59.0,51,0,4.47,TJ,1603123452
218,Satuk,41.23,32.38,51.4,86,61,2.13,TR,1603123453
219,Koz'modem'yansk,56.34,46.57,39.2,85,98,8.95,RU,1603123453
220,Cathedral City,33.78,-116.47,82.99,40,1,3.36,US,1603123453
221,Bimbo,4.26,18.42,75.2,94,40,11.41,CF,1603123453
222,West Wendover,40.74,-114.07,48.2,45,1,4.36,US,1603123453
223,Hambantota,6.12,81.12,82.4,78,40,14.99,LK,1603123453
224,Guánica,17.97,-66.91,89.01,47,78,6.04,PR,1603123453
225,Avarua,-21.21,-159.78,73.4,94,1,3.36,CK,1603123453
226,Yeppoon,-23.13,150.73,68.0,82,0,4.7,AU,1603123391
227,Dinghaicun,26.28,119.79,69.8,68,75,17.9,CN,1603123453
228,Gamba,-2.65,10.0,78.76,82,61,11.18,GA,1603123454
229,Trelew,-43.25,-65.31,60.93,27,0,26.6,AR,1603123454
230,Kruisfontein,-34.0,24.73,66.0,78,53,4.0,ZA,1603123454
231,Wairoa,-39.03,177.37,64.0,68,93,4.0,NZ,1603123454
232,Mitsamiouli,-11.38,43.28,78.85,73,69,5.5,KM,1603123454
233,Airai,-8.93,125.41,61.34,77,42,1.72,TL,1603123454
234,Haradok,55.46,29.98,42.8,52,40,15.66,BY,1603123454
235,Vila Franca do Campo,37.72,-25.43,64.4,68,20,19.46,PT,1603123454
236,Kieta,-6.22,155.63,78.75,76,43,2.55,PG,1603123218
237,Cherskiy,68.75,161.3,18.05,95,62,4.85,RU,1603123454
238,Ucluelet,48.93,-125.55,52.0,90,4,13.0,CA,1603123321
239,Hammerfest,70.66,23.68,33.8,86,75,5.82,NO,1603123455
240,Taraz,42.9,71.37,53.6,22,0,6.71,KZ,1603123455
241,Sioux Lookout,50.1,-91.92,31.48,85,40,7.81,CA,1603123455
242,Djibouti,11.5,42.5,87.8,55,1,6.93,DJ,1603123455
243,Fuyu,45.18,124.82,47.16,53,0,6.35,CN,1603123455
244,Anori,-3.77,-61.64,93.4,50,94,3.13,BR,1603123272
245,Aleysk,52.49,82.78,35.92,79,100,10.89,RU,1603123455
246,Lüderitz,-26.65,15.16,66.7,53,0,26.93,NA,1603123456
247,Haines Junction,60.75,-137.51,22.6,80,100,0.98,CA,1603123456
248,Miles City,46.41,-105.84,21.2,85,90,11.41,US,1603123456
249,Lavrentiya,65.58,-171.0,31.75,91,0,2.17,RU,1603123404
250,Bilibino,68.05,166.44,11.34,92,50,2.64,RU,1603123456
251,Zhangaözen,43.3,52.8,56.17,37,0,5.03,KZ,1603123344
252,Faanui,-16.48,-151.75,79.68,79,0,14.79,PF,1603123456
253,Lagoa,39.05,-27.98,64.53,71,100,35.14,PT,1603123348
254,Bannu,32.99,70.6,72.91,17,0,1.41,PK,1603123457
255,Fernie,49.5,-115.07,35.74,84,100,1.3,CA,1603123241
256,Olinda,-8.01,-34.86,86.0,58,75,11.41,BR,1603123316
257,Nanortalik,60.14,-45.24,39.38,86,76,9.13,GL,1603123457
258,Hailar,49.2,119.7,40.86,67,100,10.92,CN,1603123457
259,Provideniya,64.38,-173.3,32.22,85,17,5.53,RU,1603123457
260,Spring Valley,36.11,-115.25,77.0,20,20,2.35,US,1603123457
261,Manoel Urbano,-8.84,-69.26,98.19,33,12,3.78,BR,1603123458
262,Jumla,29.27,82.18,51.46,63,0,3.0,NP,1603123458
263,Xingtai,37.06,114.49,59.23,36,19,7.34,CN,1603123458
264,Tiksi,71.69,128.87,16.52,93,100,22.03,RU,1603123458
265,Westport,41.14,-73.36,64.99,72,40,10.29,US,1603123458
266,Zaragoza,41.66,-0.88,73.99,43,62,16.11,ES,1603123458
267,Humberto de Campos,-2.6,-43.46,94.03,42,75,11.41,BR,1603123458
268,Kalabo,-14.97,22.68,93.2,10,0,6.55,ZM,1603123458
269,Meulaboh,4.14,96.13,79.03,82,95,1.21,ID,1603123458
270,Gulābpura,25.9,74.67,85.06,44,78,2.28,IN,1603123459
271,Provincia di Imperia,43.97,7.78,62.6,67,40,4.7,IT,1603123459
272,Huanren,41.26,125.37,46.0,84,0,3.89,CN,1603123459
273,Ponta Delgada,37.73,-25.67,64.4,68,20,19.46,PT,1603123459
274,Galesong,-5.32,119.37,73.4,94,20,2.24,ID,1603123459
275,Kiunga,-6.12,141.29,74.07,98,100,1.9,PG,1603123459
276,Sibolga,1.74,98.78,78.08,80,90,3.49,ID,1603123459
277,Sukabumi,-6.92,106.93,80.01,87,100,1.1,ID,1603123460
278,Mar del Plata,-38.0,-57.56,66.2,82,90,10.29,AR,1603123460
279,Namatanai,-3.67,152.43,80.53,73,33,2.04,PG,1603123381
280,Kastamonu Province,41.5,33.67,48.36,82,50,3.87,TR,1603123460
281,Walvis Bay,-22.96,14.51,69.8,56,0,12.75,NA,1603123460
